Addis Ababa,012 XXX XXXX
Dangla,058 221 XXXX
Durbette/ Abcheklite,058 223 XXXX
Gimjabetmariam,058 224 XXXX
Chagni,058 225 XXXX
Metekel,058 225 XXXX
Bahir Dar II,058 226 XXXX
Enjibara Kosober,058 227 XXXX
Tilili,058 229 XXXX
Merawi,058 330 XXXX
Metema,058 331 XXXX
Maksegnit,058 332 XXXX
Chilga,058 333 XXXX
Chewahit,058 334 XXXX
Kola-deba,058 335 XXXX
Delgi,058 336 XXXX
Adet,058 338 XXXX
Ebinat,058 440 XXXX
Debre Tabour,058 441 XXXX
Hamusit,058 443 XXXX
Addis Zemen,058 444 XXXX
Nefas Mewcha,058 445 XXXX
Worota,058 446 XXXX
Mekane-eyesus,058 447 XXXX
Teda,058 448 XXXX
Pawe,058 550 XXXX
Motta,058 661 XXXX
Keraniyo,058 662 XXXX
Debre Work,058 663 XXXX
Gunde-woin,058 664 XXXX
Bichena,058 665 XXXX
Mankusa,058 770 XXXX
Debre Markos,058 771 XXXX
Lumame,058 772 XXXX
Denbecha,058 773 XXXX
Bure II,058 774 XXXX
Finote Selam,058 775 XXXX
Dejen,058 776 XXXX
Amanuel,058 777 XXXX
Debre Markos II,058 778 XXXX
Jiga,058 779 XXXX
Bedesa,099 900 XXXX
Gelemso,099 901 XXXX
Adama,099 902 XXXX
Ambo,099 903 XXXX
Shewa Robit,099 904 XXXX
Woliso,099 905 XXXX
Hosaena,099 906 XXXX
Assela,099 907 XXXX
Wendo,099 908 XXXX
Injibara,099 909 XXXX
Hadero,099 910 XXXX
Shinshicho,099 911 XXXX
Gorgora,099 912 XXXX
Welenchiti,099 913 XXXX
Ayikel,099 914 XXXX
Goba,099 915 XXXX
Bale Robe,099 916 XXXX
Welkite,099 917 XXXX
Ginir,099 918 XXXX
Mehoni,099 919 XXXX
Aksum,099 920 XXXX
Gebre Guracha,099 921 XXXX
Derwernache,099 922 XXXX
Weldiya,099 923 XXXX
Dolo,099 924 XXXX
Wondo Genet,099 925 XXXX
Bekoji,099 926 XXXX
Asasa,099 927 XXXX
May Cadera,099 928 XXXX
Tis Abay,099 929 XXXX
Wereta,099 930 XXXX
Were Ilu,099 931 XXXX
Addi Arkay,099 932 XXXX
Konso,099 933 XXXX
Chencha,099 934 XXXX
Wikro,099 935 XXXX
Jinka,099 936 XXXX
Mekane Yesus,099 937 XXXX
Maychew,099 938 XXXX
Werder,099 939 XXXX
Gimbi,099 940 XXXX
Gutin,099 941 XXXX
Yebelo,099 942 XXXX
Mieso,099 943 XXXX
Dabat,099 944 XXXX
Yirga Alem,099 945 XXXX
Ankober,099 946 XXXX
Shire,099 947 XXXX
Sokoru,099 948 XXXX
Mega,099 949 XXXX
Ginde Beret,099 950 XXXX
Shek Hussein,099 951 XXXX
Asayita,099 952 XXXX
Tog Wajale,099 953 XXXX
Gewana,099 954 XXXX
Mer Awi,099 955 XXXX
Hagere Selam,099 956 XXXX
Hartisheik,099 957 XXXX
Tulu Bolo,099 958 XXXX
Dollo,099 959 XXXX
Shone,099 960 XXXX
Kibre Mengist,099 961 XXXX
Tog Wajale,099 962 XXXX
Imi,099 963 XXXX
Debark,099 964 XXXX
Guracha Jeldu,099 965 XXXX
Degeh Bur,099 966 XXXX
Awubere,099 967 XXXX
Seka Chekorsa,099 968 XXXX
Tinsae Berhan,099 969 XXXX
Langano,099 970 XXXX
Erta Ale,099 971 XXXX
